#instance_name: normalized-10arraycomm_teq_tvars_less
#number_of_variables: 620
#number_of_Constraints: 341
#iteration elapsed_time averaged_inner_iteration_speed averaged_move_evaluation_speed local_objective local_violation global_objective global_violation primal_intensity dual_intensity performance update_status distance_from_current_solution distance_from_global_solution employing_local_solution_flag employing_global_solution_flag employing_previous_solution_flag is_enabled_penalty_coefficient_relaxing is_enabled_penalty_coefficient_tightening penalty_coefficient_reset_flag penalty_coefficient_relaxing_rate penalty_coefficient_tightening_rate is_enabled_forcibly_initial_modification number_of_initial_modification initial_tabu_tenure number_of_threads_move_update; averaged_number_of_threads_move_update; number_of_threads_move_evaluation averaged_number_of_threads_move_evaluation 
0 0.310166 69732.6 4.32342e+07 0 1 0 1 0.002775 0.0100058 0 0 0 0 0 1 0 1 0 0 0.96 1 1 15 30 1 1 2 1
1 0.366638 46974.3 3.24059e+07 0 1 0 1 0.0026472 0.00782317 0.0005 1 72 72 1 0 0 0 1 0 0.96 1 1 11 30 1 1 4 1.5
2 0.428566 40793.8 2.91361e+07 0 1 0 1 0.00260453 0.00732253 0 0 0 72 0 1 0 1 0 0 0.96 1 1 12 30 1 1 8 2.33333
3 0.519285 33641.7 2.44494e+07 0 1 0 1 0.00231126 0.00607108 0.0005 1 105 105 1 0 0 0 1 0 0.96 1 1 18 30 1 1 10 3.75
4 0.619631 29573 2.17229e+07 0 1 0 1 0.00234407 0.00624763 0 0 0 105 0 1 0 1 0 0 0.96 1 1 11 30 2 1 2 5
5 0.704861 28343.6 2.09569e+07 0 1 0 1 0.00233181 0.00596035 0.0005 1 111 111 1 0 0 0 1 0 0.96 1 1 21 30 4 1.16667 4 4.5
6 0.821399 25930.1 1.92539e+07 0 1 0 1 0.00224262 0.00562713 0.0005 1 198 233 1 0 0 0 1 0 0.96 1 1 15 30 8 1.57143 8 4.42857
7 1.03962 21104.5 1.57258e+07 0 1 0 1 0.00224905 0.00545059 0.0005 1 144 243 1 0 0 0 1 0 0.96 1 1 13 30 10 2.375 10 4.875
8 1.29581 17745.7 1.32588e+07 0 1 0 1 0.00225006 0.00534395 0 0 0 243 0 1 0 1 0 0 0.96 1 1 15 30 1 3.22222 1 5.44444
9 1.34014 18891.9 1.41452e+07 0 1 0 1 0.0022204 0.00518659 0.0005 1 91 91 1 0 0 0 1 0 0.96 1 1 18 30 2 3 2 5
10 1.42547 19231 1.44218e+07 0 1 0 1 0.0021588 0.0050627 0.0005 1 87 150 1 0 0 0 1 0 0.96 1 1 12 30 1 2.90909 2 4.72727
11 1.48291 19976.3 1.50054e+07 0 1 0 1 0.00213631 0.00497932 0.0005 1 96 184 1 0 0 0 1 0 0.96 1 1 21 30 4 2.75 4 4.5
12 1.60148 19697.1 1.48205e+07 0 1 0 1 0.00213798 0.00493692 0.0005 1 96 168 1 0 0 0 1 0 0.96 1 1 20 31 1 2.84615 4 4.46154
13 1.66397 20253.4 1.52557e+07 0 1 0 1 0.0020918 0.00480772 0.0005 1 72 156 1 0 0 0 1 0 0.96 1 1 13 30 1 2.71429 1 4.42857
